Latitude,Longitude,Ort,Person,Impfstatus,Infektionsstatus,Leistung,Quelle
-6.5247123,35.7878438,Tansania,Bodo Schiffmann,ungeimpft,unbekannt,"Behauptet, dass Kinder vom Tragen simpler OP-Masken sterben. Hat sich ferner selbst nominiert für kommende ""Nürnberger Prozesse"" als Ankläger. Im Allgemeinen liegt er mit seinen Prognosen aber recht weit daneben: Der für den 31.10.2020 vorhergesagte Sturz der ""Merkel-Diktatur"" fiel bekanntlich aus.",https://www.tagesspiegel.de/themen/reportage/die-vielen-fehlschlaege-der-querdenker-so-oft-irren-sich-die-verschwoerungsideologen/27471378.html
51.1761837,11.4211488,"Rastenberg, deutschland",Thomas Brauner,ungeimpft,schwere Symptome,"Thomas Brauner (Ex-Busfahrer, bekannt als Sidekick von Armin Laschet) wollte sich statt einer Impfung lieber mit Corona infizieren. Allerdings erwischte ihn das Virus doch so schwer, dass er seine umfangreichen Aktivitäten im Internet zunächst einstellen musste.",https://twitter.com/schwurbelhunter/status/1452353854742409218?s=20
26.715364,-80.0532942,"West Palm Beach, Florida",Dick Farrel,ungeimpft,verstorben,"Bezeichnete die Impfung als ""Bugus Bullshit"" und setzte Hoffnungen in Hydroxychloroquin, insbesondere weil offiziell davon abgeraten wird.",https://gulfnews.com/photos/news/celebrity-anti-vaxxers-who-died-of-covid-19-1.1632401033596?slide=8
49.2067726,-122.9108818,"New Westminster, Canada",Mak Parhar,ungeimpft,verstorben,"Leugnet sowohl Corona als auch die Gestalt der Erde (""flat earther""), nach Auftreten von COVID Symptomen greift er zu Ivermectin.",
-19.9227318,-43.9450948,"Belo Horizonte, Brasilien",Stanley Gusman,ungeimpft,verstorben,"Der prominente Fernseh-Moderator Stanley Gusman ist in Brasilien für seine gesellschaftskritischen Ansätze und seine spitze Zunge bekannt. So versteckte der vehemente Coronaleugner auch seinen Unmut über die Corona-Massnahmen nicht. Zuletzt kritisierte er die Mahnung des Bürgermeisters von Belo Horizonte, Weihnachten nicht im Kreise der Familie zu verbringen und zeigte sich gerne ohne Maske.",https://www.mittellaendische.ch/2021/11/27/bekannte-coronaleugner-die-auf-intensivstation-liegen-oder-an-ihrem-irrglauben-gestorben-sind/#gsc.tab=0
33.2588817,-86.8295337,Alabama,Tristan und Dusty Graham,ungeimpft,verstorben,Verhöhnten auf ihrem Youtube-Kanal die Corona-Impfung als vollkommen unnötig und einen Verstoss gegen ihre Menschenrechte.,https://www.news.de/panorama/855938831/coronavirus-news-corona-leugner-verweigern-impfung-und-sterben-ehepaar-tot-innerhalb-von-3-wochen-durch-covid-19-laut-tochter/1/
-10.3333333,-53.2,Brasilia,Jair Bolsonaro ,ungeimpft ,genesen,"Oberster Verschwörungstheoretiker seines Landes und gleichzeitig dessen Präsident. Verharmlost die Krankheit, die er glücklicherweise selbst überstanden hat, schwadroniert von Impfschäden. ",https://www.fr.de/politik/corona-brasilien-zwei-millionen-infektionen-bolsonaro-virus-infiziert-maskenpflicht-veto-brasilia-rio-de-janeiro-zr-90007120.html
38.8950368,-77.0365427,Washington DC,Donald  Trump ,geimpft,genesen,"Kaum einzuordnen - verharmlost Corona, nutzt das Virus aber auch für nationalistische Tiraden gegen China, läßt Corona-Leugner gewähren (seine größten Fans), ruft sie aber zur Impfung auf.",https://www.zdf.de/politik/auslandsjournal/trump-coronavirus-100.html
31.168570000000003,-99.68300099546674,Texas,Marcus Lamb,ungeimpft,verstorben,bevorzugte Gebete statt schulmedizinischer Massnahmen einschliesslich der Impfung. ,https://www.spiegel.de/panorama/leute/marcus-lamb-daystar-gruender-stirbt-nach-corona-infektion-a-44b572a2-8217-4b07-997b-b1590971383b?sara_ecid=soci_upd_wbMbjhOSvViISjc8RPU89NcCvtlFcJ
51.5123672,10.2610699,Duderstadt,Carola Javid Kistel,ungeimpft,unbekannt,"bezeichnet die Impfung als Völkermord, beliebte Rednerin auf Querdenker Demonstrationen. Inzwischen Gegenstand straf- und berufsrechtlicher Verfahren",https://www.hna.de/lokales/goettingen/goettingen-ort28741/gegen-schutzimpfungen-duderstaedter-aerztin-approbation-91142363.html
50.9616923,13.9386643,Pirna,Ivo Teichmann,ungeimpft,schwere Symptome,"AfD Poltiker in Pirna und MdL, bekannter Organisator von Corona-Demos, inzwischen erstaunt vom schweren Verlauf der Infektion, aber weiter nicht überzeugt vom Nutzen der Impfung",https://www.akubiz.de/index.php?option=com_content&view=article&id=760:corona-rebellen-ohne-mundschutz-ohne-abstand-ohne-solidaritaet&catid=38&idU=1
52.5170365,13.3888599,Berlin,Beatrix von Storch,unbekannt,infiziert,"Bekannt als Gegnerin der Pandemiebekämpfung, in der Öffentlichkeit auch Gegnerin der Impfung. Inzwischen mit positivem PCR Test isoliert.",https://www.merkur.de/politik/beatrix-von-storch-coronavirus-infektion-afd-impfung-covid-19-quarantaene-zr-91160203.amp.html
